ProbeID,NetWorkName,VLANID,ManageIP,GatewayIP,DNS1,DNS2,LeaseMinuteTime,DHCPStartIP,DHCPEndIP
10925416137,VLAN 999,999,192.168.99.171/24,192.168.21.254,192.168.10.201,8.8.8.8,11520,192.168.99.1,192.168.99.100
10925416137,VLAN 800,800,192.168.28.171/22,192.168.28.254,192.168.10.201,8.8.8.8,11520,192.168.28.1,192.168.28.100
